Body,muscle,exercise,equipment,resource
neck,Sternocleidomastoid,Cable Neck Flexion,Cable,https://exrx.net/WeightExercises/Sternocleidomastoid/CBNeckFlx
neck,Sternocleidomastoid,Cable Neck Flexion (with belt),Cable,https://exrx.net/WeightExercises/Sternocleidomastoid/CBNeckFlxBelt
neck,Sternocleidomastoid,Cable Neck Rotation (with belt),Cable,https://exrx.net/WeightExercises/Sternocleidomastoid/CBNeckRotationBelt
neck,Sternocleidomastoid,Cable Lateral Neck Flexion (with belt),Cable,https://exrx.net/WeightExercises/Sternocleidomastoid/CBNeckLtrFlxBelt
neck,Sternocleidomastoid,Lever Neck Flexion (plate loaded),Lever,https://exrx.net/WeightExercises/Sternocleidomastoid/LVNeckFlexionH
neck,Sternocleidomastoid,Lever Lateral Neck Flexion (plate loaded),Lever,https://exrx.net/WeightExercises/Sternocleidomastoid/LVLateralNeckFlexionH
neck,Sternocleidomastoid,Lever Neck Flexion,Lever,https://exrx.net/WeightExercises/Sternocleidomastoid/LVNeckFlx
neck,Sternocleidomastoid,Lever Lateral Neck Flexion,Lever,https://exrx.net/WeightExercises/Sternocleidomastoid/LVNeckLtrFlx
neck,Sternocleidomastoid,Weighted Lying Neck Flexion,Weight,https://exrx.net/WeightExercises/Sternocleidomastoid/WtLyingNeckFlexion
neck,Sternocleidomastoid,Weighted Neck Flexion,Weight,https://exrx.net/WeightExercises/Sternocleidomastoid/WtNeckFlx
neck,Sternocleidomastoid,Weighted Lateral Neck Flexion,Weight,https://exrx.net/WeightExercises/Sternocleidomastoid/WtNeckLateralFlex
neck,Sternocleidomastoid,Front Neck Bridge,BodyWeight,https://exrx.net/WeightExercises/Sternocleidomastoid/BWFrontNeckBridge
neck,Sternocleidomastoid,Wall Front Neck Bridge,BodyWeight,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallFrontNeckBridge
neck,Sternocleidomastoid,Wall Side Neck Bridge,BodyWeight,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallSideNeckBridge
neck,Sternocleidomastoid,Suspended Neck Flexion,Suspended,https://exrx.net/WeightExercises/Sternocleidomastoid/STNeckFlexion
neck,Sternocleidomastoid,Suspended Lateral Neck Flexion,Suspended,https://exrx.net/WeightExercises/Sternocleidomastoid/STNeckLateralExtension
neck,Splenius,Cable Neck Extension,Cable,https://exrx.net/WeightExercises/Splenius/CBNeckExt
neck,Splenius,Cable Neck Extension (with belt),Cable,https://exrx.net/WeightExercises/Splenius/CBNeckExtBelt
neck,Splenius,Lever Neck Extension (plate loaded),Lever,https://exrx.net/WeightExercises/Splenius/LVNeckExtentionH
neck,Splenius,Lever Neck Extension,Lever,https://exrx.net/WeightExercises/Splenius/LVNeckExt
neck,Splenius,Weighted Lying Neck Extension,Weight,https://exrx.net/WeightExercises/Splenius/WtLyingNeckExtension
neck,Splenius,Weighted Neck Extension,Weight,https://exrx.net/WeightExercises/Splenius/WtNeckExtension
neck,Splenius,Weighted Seated Neck Extension,Weight,https://exrx.net/WeightExercises/Splenius/WtNeckExt
neck,Splenius,Weighted Neck Harness Extension,Weight,https://exrx.net/WeightExercises/Splenius/WtNeckHarnessExt
neck,Splenius,Band Resistive Neck Retraction,Band Resistive,https://exrx.net/WeightExercises/Splenius/BRNeckRetraction
neck,Splenius,Rear Neck Bridge,BodyWeight,https://exrx.net/WeightExercises/Splenius/BWRearNeckBridge
neck,Splenius,Wall Rear Neck Bridge,BodyWeight,https://exrx.net/WeightExercises/Splenius/BWWallRearNeckBridge
neck,Splenius,Lying Neck Retraction Isometric,BodyWeight,https://exrx.net/WeightExercises/Splenius/LyingIsometricNeckRetr
neck,Splenius,Suspended Neck Extension,Suspended,https://exrx.net/WeightExercises/Splenius/STNeckExtension
shoulder,DeltoidAnterior,Barbell Behind Neck Press,Barbell,https://exrx.net/WeightExercises/DeltoidAnterior/BBBehindNeckPress
shoulder,DeltoidAnterior,Barbell Front Raise,Barbell,https://exrx.net/WeightExercises/DeltoidAnterior/BBFrontRaise
shoulder,DeltoidAnterior,Barbell Incline Front Raise,Barbell,https://exrx.net/WeightExercises/DeltoidAnterior/BBInclineFrontRaise
shoulder,DeltoidAnterior,Barbell Military Press,Barbell,https://exrx.net/WeightExercises/DeltoidAnterior/BBMilitaryPress
shoulder,DeltoidAnterior,Barbell Seated Military Press,Barbell,https://exrx.net/WeightExercises/DeltoidAnterior/BBSeatedMilitaryPress
shoulder,DeltoidAnterior,Barbell Shoulder Press,Barbell,https://exrx.net/WeightExercises/DeltoidAnterior/BBShoulderPress
shoulder,DeltoidAnterior,Cable Bar Behind Neck Press,Cable,https://exrx.net/WeightExercises/DeltoidAnterior/CBBarBehindNeckPress
