Body,muscle
neck,Sternocleidomastoid
neck,Splenius
should,Anterior
should,Lateral
should,Posterior
should,Supraspinatus
arm,Triceps
arm,Biceps
arm,Brachialis
forearm,Brachioradialis
forearm,WristFlexors
forearm,Extensors
forearm,Pronators
forearm,Supinators
back,General
back,Latissimus
back,UpperTrap
back,MiddleTrap
back,Trapezius
back,UpperTrap
back,Rhomboids
back,Infraspinatus
back,Subscapularis
chest,General
chest,General
chest,Clavicular
chest,Pectoralis
chest,Anterior
waist,Rectus
waist,Transverse
waist,Obliques
waist,Quadratus
waist,Erector
hips,Gluteus
hips,Abductors
hips,Hip
hips,DeepHip
thigh,Quadriceps
thigh,Hamstrings
thigh,HipAdductors
calf,Gastrocnemius
calf,Gastrocnemius
calf,Soleus
calf,Tibialis
calf,Popliteus
